from,to,path
3,4,132;100;2;86;134;27;32
3,4,132;100;2;86;28;27;32
3,4,132;100;2;107;28;27;32
3,4,132;100;2;86;134;131;32
3,4,132;100;2;107;108;25;33
3,4,132;100;2;86;28;25;33
3,4,132;100;2;107;28;25;33
3,4,132;100;2;86;134;27;33
3,4,132;100;2;86;28;27;33
3,4,132;100;2;107;28;27;33
3,6,51;56;116;148;120;55
3,6,51;56;116;88;120;55
3,6,51;56;116;10;120;55
3,6,51;56;116;148;120;8
3,6,51;56;116;88;120;8
3,6,51;56;116;10;120;8
3,7,51;138
3,7,51;72
3,7,51;56
3,8,51;56;116;10;120
3,8,51;56;116;88;120
3,8,51;56;116;148;120
3,9,51;56;116;10;120;30;66
3,9,51;56;116;88;120;30;66
3,9,51;56;116;148;120;30;66
3,9,51;56;116;10;120;30;22
3,9,51;56;116;88;120;30;22
3,9,51;56;116;148;120;30;22
3,10,51;56;116
3,11,51
3,13,132;100;2;107
3,14,51;56;116;148;120;30
3,14,51;56;116;88;120;30
3,14,51;56;116;10;120;30
3,16,51;72;128;36
3,20,51;72;128;65;125
3,20,51;56;7;65;125
3,20,51;72;7;65;125
3,20,51;138;7;65;125
3,20,51;72;128;36;125
3,20,51;72;128;65;119
3,20,51;56;7;65;119
3,20,51;72;7;65;119
3,20,51;138;7;65;119
3,20,51;56;116;148;119
3,21,132;100;2;107
3,21,132;100;2;93
3,22,51;56;116;148;120;30
3,22,51;56;116;88;120;30
3,22,51;56;116;10;120;30
3,23,132;100;2;86;134;27;32
3,23,132;100;2;86;28;27;32
3,23,132;100;2;107;28;27;32
3,23,132;100;2;86;134;131;32
3,24,51;56;116;10;120;30;156
3,24,51;56;116;88;120;30;156
3,24,51;56;116;148;120;30;156
3,24,51;56;116;10;120;30;81
3,24,51;56;116;88;120;30;81
3,24,51;56;116;148;120;30;81
3,25,132;100;2;107;108
3,25,132;100;2;86;28
3,25,132;100;2;107;28
3,27,132;100;2;86;134
3,27,132;100;2;86;28
3,27,132;100;2;107;28
3,28,132;100;2;107
3,28,132;100;2;86
3,30,51;56;116;10;120
3,30,51;56;116;88;120
3,30,51;56;116;148;120
3,32,132;100;2;86;134;131
3,32,132;100;2;107;28;27
3,32,132;100;2;86;28;27
3,32,132;100;2;86;134;27
3,33,132;100;2;107;28;27
3,33,132;100;2;86;28;27
3,33,132;100;2;86;134;27
3,33,132;100;2;107;28;25
3,33,132;100;2;86;28;25
3,33,132;100;2;107;108;25
3,35,132;100;2;93
3,36,51;72;128
3,38,51;56
3,39,51;56
3,40,132;100;2;86;134;49
3,40,132;100;2;86;134;47
3,44,132;100;2;86
3,46,132;100;2;107;28;25
3,46,132;100;2;86;28;25
3,46,132;100;2;107;108;25
3,47,132;100;2;86;134
3,48,51;56;116;10;120
3,48,51;56;116;88;120
3,48,51;56;116;148;120
3,48,51;56;116;10;82
3,48,51;56;116;88;82
3,49,132;100;2;86;134
3,50,51;56;116;10;120
3,50,51;56;116;88;120
3,50,51;56;116;148;120
3,53,132;100;2;107;28;25
3,53,132;100;2;86;28;25
3,53,132;100;2;107;108;25
3,54,132;100;2;93;124
3,54,132;100;2;94;124
3,55,51;56;116;10;120
3,55,51;56;116;88;120
3,55,51;56;116;148;120
3,56,51
3,57,132;100;2;93;35
3,57,132;100;2;93;21
3,57,132;100;2;107;21
3,58,51;72;128;36;99;1
3,58,51;72;128;36;125;90
3,58,51;138;7;65;125;90
3,58,51;72;7;65;125;90
3,58,51;56;7;65;125;90
3,58,51;72;128;65;125;90
3,58,51;56;116;148;119;20
3,58,51;138;7;65;119;20
3,58,51;72;7;65;119;20
3,58,51;56;7;65;119;20
3,58,51;72;128;65;119;20
3,58,51;72;128;36;125;20
3,58,51;138;7;65;125;20
3,58,51;72;7;65;125;20
3,58,51;56;7;65;125;20
3,58,51;72;128;65;125;20
3,60,132;100;2;93
3,61,132;100;2;93;124
3,61,132;100;2;94;124
3,61,132;100;2;93;60
3,65,51;72;128
3,65,51;56;7
3,65,51;72;7
3,65,51;138;7
3,66,51;56;116;148;120;30
3,66,51;56;116;88;120;30
3,66,51;56;116;10;120;30
3,68,51;56;116;148;120;8
3,68,51;56;116;88;120;8
3,68,51;56;116;10;120;8
3,69,132;100;2;86;44;71;139
3,69,132;100;2;86;44;71;73
3,69,51;56;116;10;120;8;68
3,69,51;56;116;88;120;8;68
3,69,51;56;116;148;120;8;68
3,69,51;72;128;65;125;20;145
3,69,51;56;7;65;125;20;145
